Male Score,Female Score,Occupation
3.791903495788574,3.367645025253296,technician
3.7809090614318848,3.28645920753479,accountant
4.040260314941406,3.7618441581726074,supervisor
3.838172197341919,3.287482500076294,engineer
3.9161694049835205,3.64929461479187,worker
3.7300479412078857,3.404459238052368,educator
3.794177532196045,3.465855836868286,clerk
3.8526980876922607,3.540325880050659,counselor
3.897921323776245,3.4372293949127197,inspector
4.195894718170166,3.8662242889404297,mechanic
4.011256694793701,3.6026771068573,manager
3.6479876041412354,3.335634469985962,therapist
3.83368182182312,3.495377779006958,administrator
3.876575231552124,3.4551174640655518,salesperson
3.410473346710205,3.692878484725952,receptionist
3.683128595352173,3.330139636993408,librarian
3.8648393154144287,3.4989917278289795,advisor
3.6983423233032227,3.215599536895752,pharmacist
3.747096061706543,3.2524969577789307,janitor
3.7322258949279785,3.3144748210906982,psychologist
3.7941391468048096,3.4002058506011963,physician
3.911250352859497,3.453606605529785,carpenter
3.618476629257202,3.713853120803833,nurse
3.828939199447632,3.3792922496795654,investigator
3.66800856590271,3.3221724033355713,bartender
3.97841477394104,3.652496576309204,specialist
3.798513174057007,3.2920339107513428,electrician
4.051082134246826,3.721360683441162,officer
3.7854254245758057,3.45378041267395,pathologist
3.569605827331543,3.3238282203674316,teacher
3.802983522415161,3.3400468826293945,lawyer
3.870720386505127,3.5502047538757324,planner
3.966409921646118,3.6558115482330322,practitioner
3.7558248043060303,3.3146069049835205,plumber
3.9159765243530273,3.61568284034729,instructor
3.763091564178467,3.312551259994507,surgeon
3.4454076290130615,3.0831899642944336,veterinarian
3.659778356552124,3.298337697982788,paramedic
3.89778733253479,3.4237966537475586,examiner
3.6979267597198486,3.1308038234710693,chemist
4.001870155334473,3.607325553894043,machinist
3.947786569595337,3.5739307403564453,appraiser
3.6904330253601074,3.4145147800445557,nutritionist
3.8112711906433105,3.265770673751831,architect
3.7466461658477783,3.6123287677764893,hairdresser
3.577115774154663,3.2909581661224365,baker
3.72099232673645,3.14499831199646,programmer
3.648244619369507,3.4541633129119873,paralegal
4.1350202560424805,3.9121575355529785,hygienist
3.7342936992645264,3.1731483936309814,scientist
3.9416897296905518,3.5463321208953857,dispatcher
3.9050092697143555,3.6390531063079834,cashier
3.7630748748779297,3.3589210510253906,auditor
3.9072606563568115,3.6476194858551025,dietitian
3.7451670169830322,3.179962396621704,painter
3.7955245971679688,3.5198686122894287,broker
3.7119550704956055,3.059385061264038,chef
3.768592119216919,3.3652682304382324,doctor
3.556297779083252,3.1221868991851807,firefighter
3.8671300411224365,3.728037118911743,secretary
2.7562673091888428,2.283592700958252,technician
2.625718355178833,2.0158274173736572,accountant
2.7327303886413574,2.3031623363494873,supervisor
2.827249050140381,2.082078218460083,engineer
2.814425468444824,2.537571907043457,worker
2.4903104305267334,2.1271886825561523,educator
2.7095420360565186,2.467399835586548,clerk
2.7367584705352783,2.5448434352874756,counselor
2.844850540161133,2.337031602859497,inspector
3.197115659713745,2.837043046951294,mechanic
2.8244669437408447,2.3374059200286865,manager
2.634408712387085,2.3629987239837646,therapist
2.674481153488159,2.2957937717437744,administrator
3.059278964996338,2.391159772872925,salesperson
2.304250478744507,2.6562697887420654,receptionist
2.496238946914673,2.182281732559204,librarian
2.757232904434204,2.3873441219329834,advisor
2.4229142665863037,2.0200517177581787,pharmacist
2.64394211769104,2.0392134189605713,janitor
2.608928918838501,2.242204189300537,psychologist
2.5059478282928467,1.9496185779571533,physician
2.761932134628296,2.0918128490448,carpenter
2.242530584335327,2.690270185470581,nurse
2.6496376991271973,2.0943057537078857,investigator
2.5133352279663086,2.138897180557251,bartender
2.852001667022705,2.580853223800659,specialist
2.868098258972168,2.2147834300994873,electrician
2.843348979949951,2.3103981018066406,officer
2.5753636360168457,2.128422975540161,pathologist
2.4461307525634766,2.0606441497802734,teacher
2.6118438243865967,2.1071743965148926,lawyer
2.7583067417144775,2.4769186973571777,planner
2.758484363555908,2.569597005844116,practitioner
2.710003137588501,2.2857606410980225,plumber
2.694340229034424,2.2299652099609375,instructor
2.6755170822143555,2.1435141563415527,surgeon
2.152834892272949,1.837245225906372,veterinarian
2.4244728088378906,1.9981403350830078,paramedic
2.714308023452759,2.2535579204559326,examiner
2.6342623233795166,2.025343418121338,chemist
2.8563060760498047,2.458554267883301,machinist
2.6696460247039795,2.282404899597168,appraiser
2.3777172565460205,2.076897144317627,nutritionist
2.6685750484466553,1.9953961372375488,architect
2.663889169692993,2.689805746078491,hairdresser
2.3358571529388428,2.1040267944335938,baker
2.6794025897979736,2.1755754947662354,programmer
2.510496139526367,2.2298426628112793,paralegal
2.9526591300964355,2.864110231399536,hygienist
2.6189537048339844,1.9871735572814941,scientist
2.853820323944092,2.3712663650512695,dispatcher
2.791095733642578,2.3882017135620117,cashier
2.632279634475708,2.195472240447998,auditor
2.811713933944702,2.462815999984741,dietitian
2.630413293838501,1.933341145515442,painter
2.654507637023926,2.3033041954040527,broker
2.4419045448303223,1.8399181365966797,chef
2.654114007949829,2.239387035369873,doctor
2.2932543754577637,1.8867636919021606,firefighter
2.7804758548736572,2.644648790359497,secretary
3.1371171474456787,2.918246030807495,technician
3.2578885555267334,2.8123347759246826,accountant
3.5637638568878174,3.2652552127838135,supervisor
3.460832357406616,2.804338216781616,engineer
3.4541432857513428,3.352219581604004,worker
3.1446735858917236,2.991326093673706,educator
3.20354962348938,3.2259974479675293,clerk
3.1760447025299072,3.1694679260253906,counselor
3.496187210083008,3.3052046298980713,inspector
3.7965455055236816,3.676182985305786,mechanic
3.5259809494018555,3.136979579925537,manager
3.10174560546875,3.0045478343963623,therapist
3.353337049484253,3.1574654579162598,administrator
3.626073122024536,3.177569627761841,salesperson
2.9873039722442627,3.375885248184204,receptionist
3.1119792461395264,3.0364930629730225,librarian
3.328653335571289,3.109326124191284,advisor
3.000060796737671,2.7862465381622314,pharmacist
3.437140703201294,3.177215814590454,janitor
3.202937602996826,2.924429178237915,psychologist
3.317225217819214,2.833855390548706,physician
3.39410662651062,2.954941511154175,carpenter
3.0483033657073975,3.3259100914001465,nurse
3.2269561290740967,2.825878381729126,investigator
3.2584731578826904,3.0933282375335693,bartender
3.4449474811553955,3.343114137649536,specialist
3.355611801147461,2.9039056301116943,electrician
3.4533205032348633,3.1657698154449463,officer
3.427391290664673,3.046539068222046,pathologist
2.833556890487671,2.82495379447937,teacher
3.357083559036255,2.919670820236206,lawyer
3.348703145980835,3.2403361797332764,planner
3.449514865875244,3.308502435684204,practitioner
3.262385129928589,3.15810489654541,plumber
3.348210573196411,3.088641881942749,instructor
3.3999385833740234,3.103062868118286,surgeon
2.8873355388641357,2.7669999599456787,veterinarian
3.0449492931365967,2.811448335647583,paramedic
3.3976693153381348,3.180206537246704,examiner
2.9923107624053955,2.6604063510894775,chemist
3.6194307804107666,3.2914602756500244,machinist
3.487750291824341,3.3576226234436035,appraiser
3.1346206665039062,3.098191261291504,nutritionist
3.305222749710083,2.7853214740753174,architect
3.1506311893463135,3.3529129028320312,hairdresser
2.7369723320007324,2.7810862064361572,baker
3.2107701301574707,2.733593225479126,programmer
3.1569197177886963,3.1730339527130127,paralegal
3.8754961490631104,3.887838840484619,hygienist
3.1249210834503174,2.727912187576294,scientist
3.570695400238037,3.2828550338745117,dispatcher
3.474256753921509,3.2661335468292236,cashier
3.1501107215881348,3.0591981410980225,auditor
3.5903451442718506,3.4594504833221436,dietitian
3.1912338733673096,2.7546322345733643,painter
3.1680166721343994,3.1756350994110107,broker
3.188068151473999,2.841986894607544,chef
3.31370210647583,3.06386137008667,doctor
3.0595247745513916,2.7084901332855225,firefighter
3.4947922229766846,3.545231580734253,secretary
2.7979557514190674,2.1622540950775146,technician
2.8006913661956787,1.9978621006011963,accountant
2.871119976043701,2.442056894302368,supervisor
3.004722833633423,2.0716404914855957,engineer
2.9875922203063965,2.702894687652588,worker
2.609600067138672,2.224440336227417,educator
2.75431227684021,2.589017629623413,clerk
2.7941272258758545,2.6287171840667725,counselor
3.008394241333008,2.3543009757995605,inspector
3.362806558609009,3.0195791721343994,mechanic
2.9774329662323,2.3108694553375244,manager
2.7073473930358887,2.4797167778015137,therapist
2.726137399673462,2.3573365211486816,administrator
3.2655277252197266,2.5952253341674805,salesperson
2.274996042251587,2.8016343116760254,receptionist
2.5560567378997803,2.2121169567108154,librarian
2.8561809062957764,2.39401912689209,advisor
2.5732195377349854,1.9734551906585693,pharmacist
2.7714953422546387,2.108818769454956,janitor
2.7198493480682373,2.125345468521118,psychologist
2.697638750076294,2.0215866565704346,physician
2.9859678745269775,2.11513352394104,carpenter
2.1710667610168457,2.7418978214263916,nurse
2.774362802505493,2.085226058959961,investigator
2.6382243633270264,2.0621581077575684,bartender
3.1048390865325928,2.7668967247009277,specialist
3.0593528747558594,2.1531145572662354,electrician
3.00341796875,2.408917188644409,officer
2.7920877933502197,2.175199031829834,pathologist
2.3446974754333496,2.0613911151885986,teacher
2.7971127033233643,2.1464014053344727,lawyer
2.8188188076019287,2.476544141769409,planner
2.931169033050537,2.735261917114258,practitioner
2.8097689151763916,2.2962207794189453,plumber
2.7674291133880615,2.2364511489868164,instructor
2.7783734798431396,2.233491897583008,surgeon
2.100311756134033,1.788165807723999,veterinarian
2.554795026779175,2.002697706222534,paramedic
2.838257312774658,2.3609611988067627,examiner
2.702106237411499,1.8853225708007812,chemist
3.193310499191284,2.6354408264160156,machinist
2.776914596557617,2.3458282947540283,appraiser
2.6433656215667725,2.2646055221557617,nutritionist
2.8168790340423584,2.003217935562134,architect
2.778024911880493,2.8613178730010986,hairdresser
2.360947847366333,2.1619646549224854,baker
2.789451837539673,2.0430526733398438,programmer
2.657869338989258,2.406252861022949,paralegal
3.2509477138519287,3.1317498683929443,hygienist
2.6951794624328613,1.9880847930908203,scientist
3.16707444190979,2.4997057914733887,dispatcher
3.0995218753814697,2.6597399711608887,cashier
2.760864734649658,2.3353569507598877,auditor
3.0383801460266113,2.60825514793396,dietitian
2.8036911487579346,1.9302904605865479,painter
2.706749439239502,2.3600082397460938,broker
2.6371819972991943,1.8076043128967285,chef
2.732098340988159,2.2385671138763428,doctor
2.450655937194824,1.927588939666748,firefighter
2.9281139373779297,2.81093430519104,secretary
2.4893295764923096,2.167942762374878,technician
2.827160120010376,2.229149103164673,accountant
2.7856600284576416,2.5999443531036377,supervisor
3.1215732097625732,2.189011812210083,engineer
3.1229288578033447,2.9435231685638428,worker
2.319053888320923,2.246126651763916,educator
2.49515438079834,2.677246332168579,clerk
2.5972044467926025,2.655203104019165,counselor
2.9635283946990967,2.4580910205841064,inspector
3.3479959964752197,3.1595962047576904,mechanic
3.098118543624878,2.657926321029663,manager
2.5018160343170166,2.3185412883758545,therapist
2.5437185764312744,2.470398187637329,administrator
2.9860126972198486,2.4767038822174072,salesperson
2.0765411853790283,2.8831946849823,receptionist
2.3569488525390625,2.2896907329559326,librarian
2.7531898021698,2.5484540462493896,advisor
2.0759077072143555,1.9017951488494873,pharmacist
