Male Score,Female Score,Occupation
4.113987922668457,3.5848677158355713,technician
3.9378249645233154,3.099301338195801,accountant
4.3469438552856445,3.9487411975860596,supervisor
4.113601207733154,3.0785770416259766,engineer
4.1865386962890625,3.9877490997314453,worker
3.7862510681152344,3.6222586631774902,educator
3.99090313911438,3.7610528469085693,clerk
3.8292076587677,3.99582839012146,counselor
4.0676445960998535,3.140472173690796,inspector
3.832477569580078,3.0979268550872803,mechanic
4.260555744171143,3.5678458213806152,manager
3.6767852306365967,4.002947807312012,therapist
4.053154945373535,3.6947269439697266,administrator
3.831969976425171,3.856452465057373,salesperson
3.5558547973632812,4.151012420654297,receptionist
3.236943006515503,3.637359380722046,librarian
3.931899309158325,3.624190330505371,advisor
3.734590530395508,3.4153850078582764,pharmacist
3.6781837940216064,3.1756699085235596,janitor
3.7193896770477295,3.6276867389678955,psychologist
3.903104066848755,3.4803788661956787,physician
3.968632936477661,3.0175282955169678,carpenter
3.092144250869751,4.123417854309082,nurse
4.144186019897461,3.4333932399749756,investigator
3.698460817337036,3.357212781906128,bartender
4.238729953765869,3.6559150218963623,specialist
3.7482879161834717,3.2892777919769287,electrician
4.314587593078613,3.2609822750091553,officer
3.933926820755005,3.258519411087036,pathologist
3.636672258377075,3.549837589263916,teacher
4.212141036987305,3.3773767948150635,lawyer
3.826472520828247,3.8083336353302,planner
4.422577381134033,3.9197022914886475,practitioner
3.6252498626708984,2.867504119873047,plumber
4.028534889221191,3.6379129886627197,instructor
3.987713575363159,3.2610838413238525,surgeon
3.192525863647461,2.864363431930542,veterinarian
3.8672173023223877,3.502140760421753,paramedic
4.077778339385986,3.5933139324188232,examiner
3.731563091278076,3.0505783557891846,chemist
3.8553812503814697,3.181786298751831,machinist
3.903691053390503,3.354814291000366,appraiser
3.6385886669158936,3.5186989307403564,nutritionist
4.102166652679443,3.2077255249023438,architect
3.7998902797698975,3.869389772415161,hairdresser
3.75984787940979,3.5889804363250732,baker
3.9410781860351562,3.3867480754852295,programmer
4.290170669555664,3.611877679824829,paralegal
4.020044803619385,3.8012752532958984,hygienist
3.9021666049957275,3.16339111328125,scientist
3.9521756172180176,3.406372308731079,dispatcher
3.7222249507904053,3.573611259460449,cashier
3.7435648441314697,3.285581350326538,auditor
3.798522710800171,3.4228556156158447,dietitian
4.096946716308594,3.3556528091430664,painter
4.068460464477539,3.508335828781128,broker
