Male Score,Female Score,Occupation
3.668056011199951,3.2810323238372803,technician
3.4232373237609863,3.1970741748809814,accountant
3.5014185905456543,3.306483030319214,supervisor
3.515275239944458,3.237811803817749,engineer
3.8389217853546143,3.4841511249542236,worker
3.487346887588501,3.3215489387512207,educator
3.4857547283172607,3.248863458633423,clerk
3.3462939262390137,3.1938464641571045,counselor
3.660738468170166,3.2921929359436035,inspector
3.4963414669036865,3.0052013397216797,mechanic
3.5711543560028076,3.320631265640259,manager
3.175062656402588,3.201843023300171,therapist
3.5325403213500977,3.271681070327759,administrator
3.4804582595825195,3.405031442642212,salesperson
3.567445993423462,3.5147645473480225,receptionist
3.0713658332824707,3.334622383117676,librarian
3.6565804481506348,3.285928964614868,advisor
3.3704841136932373,3.104628324508667,pharmacist
3.508100748062134,2.885423421859741,janitor
3.1310534477233887,3.014226198196411,psychologist
4.1199212074279785,3.6195127964019775,physician
3.6956310272216797,3.0454351902008057,carpenter
2.8396360874176025,4.203732013702393,nurse
3.5224978923797607,3.163299798965454,investigator
3.298474073410034,3.107334852218628,bartender
3.849701404571533,3.366395950317383,specialist
3.3471744060516357,2.8973796367645264,electrician
3.660961866378784,3.1748721599578857,officer
3.435220241546631,3.1093339920043945,pathologist
2.8913750648498535,3.242098569869995,teacher
3.3820979595184326,3.091153621673584,lawyer
3.4930644035339355,3.297564744949341,planner
4.259907245635986,3.4664015769958496,practitioner
3.7137372493743896,3.033451795578003,plumber
3.246835708618164,3.2686543464660645,instructor
3.3475515842437744,2.8859238624572754,surgeon
3.063899040222168,2.665776491165161,veterinarian
3.4786791801452637,3.0084033012390137,paramedic
3.8273189067840576,3.475498914718628,examiner
3.2996885776519775,3.15412974357605,chemist
3.5944983959198,3.37162446975708,machinist
3.6570017337799072,3.3777809143066406,appraiser
3.247328519821167,3.242664337158203,nutritionist
3.692539691925049,3.2072560787200928,architect
3.4219045639038086,3.2941529750823975,hairdresser
2.9574215412139893,2.8189144134521484,baker
3.42568039894104,2.9784939289093018,programmer
3.50236439704895,3.4711763858795166,paralegal
