Male Score,Female Score,Occupation
3.9181101322174072,3.7507152557373047,technician
3.5627501010894775,3.207702159881592,accountant
3.427083730697632,3.3590919971466064,supervisor
3.717203378677368,3.336690664291382,engineer
3.7099101543426514,3.599630117416382,worker
3.8913233280181885,3.6891021728515625,educator
3.570751905441284,3.392369031906128,clerk
3.5003018379211426,3.4241344928741455,counselor
3.577969789505005,3.2977232933044434,inspector
3.4342095851898193,2.975745916366577,mechanic
3.3510353565216064,3.3904294967651367,manager
3.3414130210876465,3.3342840671539307,therapist
3.506169557571411,3.2977254390716553,administrator
3.197322130203247,3.25982666015625,salesperson
3.4337074756622314,3.4664645195007324,receptionist
2.878401279449463,3.1752383708953857,librarian
3.981218099594116,3.591421365737915,advisor
3.0803520679473877,3.0152511596679688,pharmacist
3.3335795402526855,2.8103060722351074,janitor
3.376255750656128,3.292267322540283,psychologist
4.352442264556885,4.03217887878418,physician
3.583596706390381,2.9732584953308105,carpenter
2.108924627304077,3.4744346141815186,nurse
3.6434218883514404,3.325529098510742,investigator
3.213543176651001,3.1392662525177,bartender
3.7880985736846924,3.404366970062256,specialist
3.0284595489501953,2.821471691131592,electrician
3.468296766281128,3.3830926418304443,officer
3.1612019538879395,3.0153989791870117,pathologist
2.368406057357788,3.127638816833496,teacher
3.3528096675872803,3.174121618270874,lawyer
3.9105987548828125,3.67118239402771,planner
4.054019451141357,3.6715593338012695,practitioner
3.4628329277038574,3.0113470554351807,plumber
3.164738178253174,3.362288236618042,instructor
3.1225688457489014,2.789590835571289,surgeon
2.921701192855835,2.98040771484375,veterinarian
3.380331516265869,3.095386505126953,paramedic
4.252711772918701,3.9123470783233643,examiner
4.082541465759277,3.7777888774871826,chemist
3.512403964996338,3.290262222290039,machinist
3.407829999923706,3.265941619873047,appraiser
2.778400182723999,2.920557737350464,nutritionist
3.5602195262908936,3.1715779304504395,architect
2.657653570175171,3.0600154399871826,hairdresser
3.115783452987671,3.09242582321167,baker
3.434530735015869,3.0965704917907715,programmer
3.544275999069214,3.741133213043213,paralegal
3.1583759784698486,3.3199665546417236,hygienist
2.9436559677124023,3.1073246002197266,scientist
3.447054147720337,3.3227038383483887,dispatcher
3.3168256282806396,3.34629487991333,cashier
4.118729591369629,3.7670750617980957,auditor
2.832371711730957,3.010589122772217,dietitian
3.1465883255004883,3.0438380241394043,painter
3.6832284927368164,3.425330877304077,broker
2.5477254390716553,2.4949703216552734,chef
3.0023598670959473,2.9589483737945557,doctor
3.537653684616089,3.047144651412964,firefighter
3.0025060176849365,3.4325077533721924,secretary
3.0745644569396973,2.8923404216766357,technician
2.921576738357544,2.5080907344818115,accountant
2.9593136310577393,2.91123366355896,supervisor
3.0132038593292236,2.632660388946533,engineer
3.3768584728240967,3.1679434776306152,worker
2.982023000717163,2.9847419261932373,educator
3.175323247909546,2.807987689971924,clerk
2.637340545654297,2.8582773208618164,counselor
2.9770822525024414,2.6930911540985107,inspector
3.1591670513153076,2.4547979831695557,mechanic
2.9540135860443115,2.6811482906341553,manager
2.3006386756896973,2.7377281188964844,therapist
2.8051159381866455,2.781547784805298,administrator
2.9407458305358887,2.9973304271698,salesperson
3.292372465133667,3.151427984237671,receptionist
2.48266863822937,2.7849085330963135,librarian
3.122188091278076,2.87719464302063,advisor
2.532113790512085,2.5155932903289795,pharmacist
3.006535291671753,2.135063886642456,janitor
2.2329511642456055,2.310572624206543,psychologist
2.321556806564331,2.1668498516082764,physician
3.2682113647460938,2.3830018043518066,carpenter
1.7260308265686035,3.201082944869995,nurse
3.097989797592163,2.7382051944732666,investigator
2.6618449687957764,2.5322816371917725,bartender
3.5426082611083984,3.090287208557129,specialist
3.2228503227233887,2.7570297718048096,electrician
2.9718334674835205,2.8726227283477783,officer
2.6434078216552734,2.3052940368652344,pathologist
2.2652170658111572,2.7688772678375244,teacher
2.6818811893463135,2.5472118854522705,lawyer
2.999812126159668,2.970830202102661,planner
3.602617025375366,3.1603314876556396,practitioner
3.159458875656128,2.4387400150299072,plumber
2.8475892543792725,2.9391064643859863,instructor
2.3116543292999268,2.055253505706787,surgeon
1.879491925239563,2.0337021350860596,veterinarian
2.8822782039642334,2.518984794616699,paramedic
3.440206289291382,3.070791482925415,examiner
2.355195999145508,2.4637856483459473,chemist
3.2720789909362793,2.93017315864563,machinist
3.1449992656707764,2.924053907394409,appraiser
1.973230004310608,2.0206472873687744,nutritionist
2.6889288425445557,2.4510083198547363,architect
2.6930429935455322,2.9588162899017334,hairdresser
2.4634602069854736,2.46479868888855,baker
2.8615267276763916,2.4852054119110107,programmer
3.171739339828491,3.1991171836853027,paralegal
3.1226325035095215,2.9684667587280273,hygienist
2.036064863204956,2.2146034240722656,scientist
2.7692434787750244,2.79961895942688,dispatcher
3.235109567642212,3.1267945766448975,cashier
2.98254132270813,2.7247939109802246,auditor
2.349245548248291,2.752445697784424,dietitian
2.251880407333374,2.0815303325653076,painter
3.037691116333008,2.7966253757476807,broker
1.7295972108840942,1.7426698207855225,chef
1.811995267868042,1.8851112127304077,doctor
2.87483286857605,2.1886539459228516,firefighter
2.4213075637817383,2.9312164783477783,secretary
